Session,TimeTag,Sample,d45,d46,d47
B,2,EG25,-0.013995088,1.518925846,1.441866726
B,3,ETH-1,12.15813168,6.726289309,18.54471924
B,4,ETH-2,0.107410556,-9.93234484,-10.34763233
B,5,HG,0.49592159,9.87372524,9.310236959
B,8,ETH-3,11.88461681,7.17879988,19.0683046
B,9,HG,-0.153890533,-1.354419926,-2.360605601
B,10,EG25,0.08352083,7.94728725,7.800828962
B,13,ETH-1,12.15610811,6.701987653,18.4575393
B,14,EG25,1.233307583,39.60244232,40.12502956
B,15,ETH-4,0.03026872,-9.972602633,-10.29014327
B,17,ETH-1,12.15962686,6.730271004,18.48319434
B,18,ETH-2,0.105942771,-9.929995611,-10.4091022
B,1,ETH-1,12.1554695,6.654007844,18.48321605
B,2,EG25,0.155008369,7.658543728,7.642123103
B,3,ETH-2,0.097896222,-9.942074097,-10.3367255
B,5,ETH-1,12.15214733,6.669468364,18.48207003
B,6,ETH-1,12.15176698,6.663543906,18.44186055
B,7,ETH-3,11.87488108,7.116775138,18.99109013
B,8,HG,0.302041562,5.452192883,4.76635023
B,9,EG25,-0.0745435,2.723734465,2.515079484
B,10,ETH-1,12.12757438,6.640271138,18.39224613
B,11,ETH-1,12.13741198,6.638410914,18.40017592
B,12,ETH-2,0.082402561,-9.977173818,-10.43615382
B,13,HG,-0.148398257,0.052530343,-1.030816628
B,14,ETH-4,-0.001217643,-10.16259849,-10.51000166
B,15,ETH-1,12.12622384,6.615274554,18.33661442
B,18,ETH-1,12.12759356,6.625902469,18.32674263
B,19,ETH-3,11.86771373,7.078365098,18.87869239
B,20,ETH-1,12.13167997,6.602537518,18.30923298
B,21,ETH-4,0.004673544,-10.13580085,-10.49656523
B,23,ETH-3,11.85578695,7.097199949,18.84296589
B,24,ETH-1,12.12548483,6.594952921,18.26374873
B,1,ETH-4,0.009025376,-10.08925525,-10.36954484
B,3,ETH-2,0.087949367,-9.985141387,-10.41749451
B,4,ETH-3,11.85771264,7.097573914,18.94225802
B,5,ETH-2,0.091104557,-9.963471867,-10.41213376
B,6,HG,1.012570208,31.16743304,30.78493355
B,7,ETH-2,0.078997821,-10.00342099,-10.46120808
B,8,ETH-4,0.007611925,-10.14679146,-10.47334053
B,12,ETH-2,0.08498257,-9.998756921,-10.48652754
C,1,ETH-3,11.87445934,7.111449982,18.92165986
C,3,ETH-1,12.14815343,6.665787152,18.36158136
C,4,EG25,0.634489274,14.38439756,14.64223491
C,5,ETH-3,11.87526177,7.170074382,18.95948316
C,6,ETH-3,11.87565261,7.140075998,18.91098164
C,7,HG,-0.077594198,0.842771407,-0.243098706
C,8,EG25,-0.051453346,2.513556585,2.240028919
C,9,ETH-2,0.104203895,-9.95469374,-10.48187752
C,11,ETH-3,11.89083132,7.199101093,18.96420145
C,12,ETH-3,11.87008793,7.187781535,18.91390757
C,13,ETH-1,12.16044175,6.690553386,18.35310764
C,14,HG,1.178929041,33.65660626,33.26298973
C,15,ETH-4,0.026863965,-10.04695878,-10.46121124
C,16,ETH-3,11.88536736,7.2465022,18.96980901
C,17,ETH-2,0.104520788,-9.950844722,-10.52169811
C,1,ETH-4,0.041428651,-10.09268269,-10.39732073
C,3,ETH-3,11.8927727,7.154303555,18.98500547
C,4,EG25,0.169207208,7.795762827,7.710908784
C,5,ETH-4,0.03438553,-10.06917029,-10.40565564
C,6,ETH-4,0.02908129,-10.09457574,-10.43741484
C,7,HG,1.041477147,29.2044649,28.83751059
C,9,EG25,-0.006248269,1.670579852,1.497864011
C,10,ETH-4,0.037197695,-10.0388929,-10.38968064
C,11,ETH-3,11.88587468,7.145263912,18.94038873
C,13,HG,0.229753865,2.918726664,2.134149506
C,14,ETH-4,0.032359323,-10.06096511,-10.41883343
C,15,ETH-4,0.024406598,-10.10295058,-10.48460443
C,17,ETH-2,0.102413563,-9.958924128,-10.51658751
C,19,ETH-4,0.012454153,-10.05691079,-10.4595948
D,2,ETH-1,12.16726355,6.725353979,18.37053495
D,4,EG25,-0.056503053,2.736183818,2.383802561
D,7,HG,0.272337652,4.331821369,3.459936908
D,8,ETH-2,0.108912104,-9.928409386,-10.5232768
D,9,ETH-3,11.88220307,7.17090884,18.86360042
D,12,EG25,1.231342314,40.0891073,40.43983395
D,13,ETH-1,12.15958929,6.746353015,18.31450396
D,15,ETH-2,0.096358864,-9.931114516,-10.592321
D,17,ETH-3,11.88877677,7.163493681,18.8161416
D,18,HG,0.066186024,-3.012189937,-3.997047313
D,19,ETH-4,0.025421068,-10.04175677,-10.56268161
D,21,EG25,0.411226136,7.680155391,7.652094918
D,23,ETH-4,0.035768641,-10.0885269,-10.60542905
S1,0,ETH-1,12.16910739,6.797946011,18.59729695
S1,0,EG25,0.098298353,8.062597388,7.962959373
S1,0,ETH-2,0.106524378,-9.837258454,-10.27341043
S1,0,ETH-4,0.030243576,-9.973145514,-10.22147019
S1,0,HG,-0.205751095,-0.835609129,-1.935186368
S1,0,ETH-4,0.023483286,-9.983513823,-10.26561225
S1,0,EG25,0.363342452,14.24817723,14.34849367
S1,0,ETH-3,11.88314831,7.266029426,19.20559982
S1,0,HG,0.178143713,9.787606704,8.918326625
S1,0,ETH-2,0.116769838,-9.890671822,-10.31787514
S1,0,EG25,0.040948117,1.862168691,1.79623522
S1,0,ETH-1,12.17295229,6.762082146,18.58910179
S1,0,HG,-0.222869117,-1.129184445,-2.219382287
S1,0,ETH-4,0.028877919,-10.02400458,-10.29668574
S1,0,ETH-3,11.89247066,7.254715018,19.16418782
S1,0,ETH-2,0.106055158,-9.901744345,-10.30448768
S1,0,EG25,0.390927789,14.12266568,14.31294474
S1,0,ETH-4,0.061276959,-9.950214673,-10.17879301
S1,0,ETH-1,12.18267742,6.752175427,18.60666839
S1,0,EG25,0.10042071,8.099169454,8.038354768
S1,0,ETH-3,11.90632901,7.254121545,19.16971493
S1,0,HG,0.214465285,10.22296342,9.397966751
S1,0,ETH-4,0.053433102,-9.962276406,-10.18212688
S1,0,EG25,0.101675874,8.146289333,8.039444816
S1,0,ETH-3,11.92457773,7.307751944,19.28667279
S1,0,HG,0.229624394,5.72606548,4.975706455
S1,0,ETH-2,0.142621429,-9.834755161,-10.18923336
S1,0,EG25,0.345926352,14.07287619,14.16670329
S1,0,ETH-1,12.17473638,6.723057335,18.53389162
S1,0,EG25,0.109320045,8.039199138,7.99782572
S1,0,ETH-3,11.88991071,7.223741895,19.13154063
S1,0,ETH-4,0.050240491,-10.00723771,-10.21403869
S1,0,ETH-1,12.16255272,6.7189266,18.51336859
S2,0,ETH-1,12.1683968,6.694979221,18.49355817
S2,0,ETH-3,11.90450987,7.259192481,19.17720673
S2,0,EG25,0.073334357,2.233969082,2.184365282
S2,0,HG,-0.294133325,-4.174460786,-5.291913171
S2,0,ETH-2,0.104543551,-9.885159864,-10.30915308
S2,0,ETH-4,0.033446623,-9.993782841,-10.25644196
S2,0,EG25,0.327458714,13.81537512,13.89649935
S2,0,ETH-1,12.16452622,6.757650272,18.56372483
S2,0,ETH-4,0.055536766,-9.973854359,-10.23667703
S2,0,EG25,0.130784607,3.015223539,3.011878988
S2,0,ETH-2,0.104940029,-9.903237924,-10.35278672
S2,0,HG,0.049038406,4.568187656,3.665647004
S2,0,ETH-3,11.89530385,7.277031462,19.18993583
S2,0,ETH-1,12.16695027,6.801427366,18.60522533
S2,0,HG,-0.102983222,0.738742035,-0.263014114
S2,0,ETH-2,0.114555112,-9.885543484,-10.28997107
S2,0,ETH-3,11.88685798,7.232684097,19.14126628
S2,0,EG25,1.31060831,39.71116418,40.3679404
S2,0,ETH-1,12.16138069,6.777158716,18.57901411
S2,0,ETH-4,0.041536259,-9.98456263,-10.26361153
S2,0,ETH-3,11.88110725,7.017600856,18.89127864
S2,0,ETH-2,0.109637059,-10.05313159,-10.47913816
S2,0,EG25,0.386697497,1.650260454,1.969679443
S2,0,ETH-1,12.1695852,6.638412985,18.44345718
S2,0,HG,0.134905862,5.006550788,4.15523542
S2,0,ETH-4,0.026724778,-10.21276051,-10.49941687
S2,0,ETH-2,0.102460683,-9.999423811,-10.43544084
S2,0,ETH-1,12.1540948,6.590208722,18.36117247
S2,0,ETH-1,12.16071931,6.590761463,18.39537638
S2,0,ETH-4,0.023986167,-10.17396571,-10.44159691
S2,0,HG,0.098485522,3.095728925,2.243871351
S2,0,ETH-2,0.097939195,-10.07744987,-10.50560854
S2,0,ETH-3,11.87687485,7.020622565,18.91930292
S2,0,EG25,0.346842635,14.24728162,14.2974278
S2,0,ETH-4,0.020997076,-10.15801045,-10.43956625
S2,0,ETH-2,0.100762145,-10.00320731,-10.4076503
S2,0,HG,0.1632684,9.874280899,8.994327557
S3,0,ETH-4,0.031162836,-10.12683188,-10.44629271
S3,0,ETH-3,11.87849691,7.078964615,18.99902856
S3,0,EG25,2.046305064,39.42043572,40.8485605
S3,0,ETH-3,11.84753664,7.104703776,19.02534171
S3,0,ETH-2,0.108223117,-9.954546864,-10.39720901
S3,0,EG25,0.370793924,1.537433338,1.833258857
S3,0,ETH-1,12.14066738,6.67759103,18.46630607
S3,0,ETH-4,0.033586906,-10.12035602,-10.43855308
S3,0,ETH-1,12.13183004,6.647900591,18.4354074
S3,0,EG25,0.544788387,7.024707916,7.411014347
S3,0,ETH-4,0.03064977,-10.08587364,-10.39017751
S3,0,HG,1.583846438,28.85152862,29.18972378
S3,0,ETH-3,11.85553287,7.123702357,19.02499475
S3,0,ETH-2,0.102346914,-9.981798275,-10.46469908
S3,0,EG25,-0.459536354,1.881722489,1.322392465
S3,0,ETH-1,12.13252028,6.652769923,18.46925233
S3,0,ETH-4,0.020638107,-10.13476297,-10.4476102
S3,0,EG25,0.333530079,14.04894601,14.0832567
S3,0,HG,0.221268957,-5.052837685,-5.638248858
S3,0,ETH-3,11.86590175,7.133121381,19.02732309
S3,0,ETH-2,0.106369036,-10.00404829,-10.48174066
S3,0,HG,0.250998914,-4.105028336,-4.707943461
S3,0,ETH-2,0.104977983,-9.990810448,-10.4884925
S3,0,ETH-4,0.02510183,-10.11995626,-10.405569
S3,0,EG25,0.329510176,14.01543701,14.0702823
S3,0,ETH-3,11.85363579,7.144206627,19.04251925
S3,0,ETH-2,0.109362975,-9.972726242,-10.42597999
S3,0,ETH-4,0.025290304,-10.13276326,-10.45807199
S3,0,ETH-1,12.12183787,6.616004276,18.40484413
S3,0,EG25,-0.414962007,1.540835662,1.050203021
S3,0,ETH-3,11.86642154,7.1076009,19.01632416
S3,0,ETH-2,0.112253093,-9.898505204,-10.36082233
S3,0,HG,1.685843794,30.13373156,30.55279486
S3,0,ETH-4,0.038318211,-10.05675036,-10.3464369
S3,0,ETH-3,11.83340203,7.041383972,18.93281415
S3,0,HG,1.681508504,31.20382367,31.58327745
S3,0,ETH-2,0.089523091,-10.00807272,-10.47688799
S3,0,ETH-3,11.81989327,7.034688101,18.90325396
S3,0,EG25,0.121481587,7.538383304,7.474191366
S3,0,ETH-1,12.11608485,6.62265185,18.39764373
S3,0,ETH-4,0.005873827,-10.16291737,-10.47655116
S3,0,ETH-2,0.0849688,-9.974100948,-10.44348603
S3,0,HG,-0.25715536,-0.660827784,-1.82701532
S3,0,ETH-3,11.83185306,7.118400825,19.00246429
S3,0,ETH-4,-0.004718781,-10.20821129,-10.55259357
S3,0,EG25,0.317329355,13.796506,13.85272364
S3,0,ETH-1,12.10555425,6.609409082,18.39440252
S3,0,HG,0.18808629,4.590760859,3.82616984
S3,0,ETH-2,0.076461619,-10.044637,-10.52316521
S3,0,ETH-3,11.82230867,7.030200381,18.885351
S3,0,ETH-1,12.07679406,6.466653149,18.17735161
S3,0,HG,-0.367445588,0.235597204,-1.051444989
S3,0,ETH-2,0.071038905,-10.08278457,-10.567963
S3,0,ETH-4,-0.050979564,-10.29209928,-10.66857917
S3,0,HG,1.724370215,30.60660597,31.05606799
S3,0,ETH-1,12.16100184,6.696603001,18.53939784
S3,0,ETH-3,11.80078121,6.962393273,18.8138196
S3,0,ETH-4,-0.028923707,-10.24011228,-10.59671315
S3,0,HG,0.407190014,2.742291477,2.210593516
S3,0,EG25,0.297894509,13.61691064,13.63219285
S3,0,ETH-1,12.08699504,6.508918744,18.25382334
S3,0,ETH-4,-0.015183399,-10.16320504,-10.51270028
S3,0,ETH-4,0.003958692,-10.11120015,-10.4333178
S3,0,EG25,0.050192791,3.232957823,3.111409455
S3,0,ETH-3,11.82194423,7.03136302,18.90399548
S3,0,ETH-1,12.10887885,6.608765787,18.38683484
S3,0,HG,1.717595842,30.07296778,30.52702869
S3,0,ETH-4,0.020964355,-10.05264142,-10.35553593
S3,0,ETH-3,11.8550147,7.153690623,19.04737579
S3,0,EG25,0.10591228,7.44899646,7.360662131
S3,0,ETH-1,12.13181618,6.696809306,18.48875697
S3,0,ETH-2,0.10804406,-9.922418151,-10.37849379
S3,0,HG,-0.043235117,-0.157325028,-1.096298495
S3,0,ETH-3,11.85952648,7.191513354,19.0910414
S3,0,ETH-1,12.13715387,6.692316256,18.48507676
S3,0,ETH-2,0.109449334,-9.889360581,-10.32955767
S3,0,ETH-4,0.02505026,-10.04990062,-10.3660172
S3,0,EG25,0.331544979,13.9206133,13.99450294
S3,0,ETH-1,12.13976393,6.701678769,18.50662287
S3,0,ETH-3,11.86699294,7.207455918,19.1230709
S3,0,ETH-2,0.103254607,-9.905588052,-10.36375841
S4,0,ETH-4,0.025515898,-10.03432031,-10.35172883
S4,0,ETH-3,11.84808896,7.170456844,19.04605661
S4,0,ETH-2,0.115136676,-9.905763536,-10.36912482
S4,0,EG25,-0.425402919,1.768491587,1.251442362
S4,0,ETH-1,12.13648618,6.728808959,18.51794541
S4,0,ETH-4,0.023851487,-10.03906311,-10.36242005
S4,0,HG,0.234761197,-3.985968689,-4.589085848
S4,0,ETH-3,11.86814366,7.228276452,19.15829889
S4,0,ETH-1,12.14134938,6.733909116,18.54270788
S4,0,ETH-3,11.76946025,6.795815348,18.59837192
S4,0,ETH-4,-0.059528241,-10.36516342,-10.76459916
S4,0,ETH-2,0.040564551,-10.14738327,-10.63857513
S4,0,HG,-0.319894663,-0.432718755,-1.645826173
S4,0,ETH-1,12.12685438,6.681322486,18.47457847
S4,0,ETH-4,0.022765059,-10.06595474,-10.37040578
S4,0,ETH-3,11.8530767,7.214638165,19.0995282
S4,0,ETH-2,0.106075332,-9.882257581,-10.32400162
S4,0,EG25,0.247907307,13.36730944,13.3407561
S4,0,ETH-1,12.12333682,6.702654338,18.48472584
S4,0,ETH-2,0.112395748,-9.869309835,-10.31811814
S4,0,ETH-1,12.14361852,6.620776346,18.39293455
S4,0,ETH-4,0.024552068,-10.23378456,-10.51246237
S4,0,EG25,0.061327464,3.241911654,3.128091475
S4,0,ETH-3,11.86297707,7.055778218,18.93870231
S4,0,ETH-2,0.099014459,-10.04868395,-10.52389454
S4,0,HG,0.370433819,0.759663894,0.243422185
S4,0,ETH-2,0.121346998,-10.01820918,-10.45590567
S4,0,ETH-4,0.029478169,-10.15785392,-10.46709401
S4,0,EG25,0.263801804,13.62956889,13.64562361
S4,0,ETH-3,11.87477122,7.11870772,19.02839622
S4,0,ETH-1,12.14597678,6.612479326,18.39875049
S4,0,ETH-2,0.110522679,-10.04457795,-10.51370406
S4,0,ETH-3,11.87116672,7.092903055,19.00017795
S4,0,EG25,0.071450094,7.393835632,7.282212481
S4,0,ETH-1,12.16526701,6.647917018,18.45900535
S4,0,ETH-4,0.050526156,-10.0968763,-10.38175684
S4,0,ETH-2,0.121594721,-9.962851718,-10.42181327
S4,0,ETH-3,11.88743677,7.089295956,18.99619337
S4,0,ETH-1,12.14888623,6.612249768,18.41934531
S4,0,ETH-3,11.88022265,7.100467062,19.01708967
S4,0,ETH-2,0.115101648,-10.02040959,-10.47892029
S4,0,ETH-4,0.042300829,-10.13494743,-10.43676672
S4,0,ETH-2,0.127476696,-9.96705398,-10.39699797
S4,0,ETH-3,11.88210042,7.113041419,19.04662685
S4,0,EG25,0.274514394,13.31311046,13.31826739
S4,0,ETH-1,12.13270268,6.577085771,18.37456505
S4,0,ETH-4,0.013094862,-10.1808725,-10.50492796
S4,0,ETH-2,0.10182043,-10.0453952,-10.4998839
S4,0,ETH-1,12.15019657,6.643910376,18.44489409
S4,0,ETH-4,0.029876192,-10.20265896,-10.52045125
S4,0,ETH-3,11.87124109,7.090217975,19.02019987
S4,0,EG25,0.129855378,7.58618226,7.540373307
S4,0,ETH-4,0.051629252,-10.10730873,-10.39824109
S4,0,ETH-2,0.119458654,-9.996051208,-10.45542542
S4,0,ETH-3,11.86708624,7.115077103,19.0265702
S4,0,ETH-1,12.14656011,6.607295239,18.39916551
S4,0,ETH-2,0.109624515,-10.00379181,-10.46567065
S4,0,ETH-3,11.87464373,7.12468734,19.02173283
S4,0,HG,1.575539533,26.41482247,26.76891789
S4,0,ETH-1,12.16589888,6.687149367,18.50177462
S4,0,ETH-4,0.040220069,-10.15618795,-10.43980634
S4,0,ETH-2,0.113955607,-10.00983008,-10.47255467
S4,0,ETH-1,12.14794726,6.605332286,18.39540899
S4,0,EG25,0.340568089,1.440376535,1.730792833
S4,0,ETH-3,11.89296031,7.184672823,19.12525703
S4,0,ETH-4,0.057710448,-10.0584434,-10.34785932