UID,Session,Sample,d45,d46,d47,d48,d49
1,Session01,ETH-1,6.286,11.394,17.090,22.333,-33.226
2,Session01,ETH-1,6.414,11.575,17.405,22.733,-34.629
3,Session01,ETH-1,6.449,11.557,17.417,22.722,12.276
4,Session01,ETH-1,6.449,11.510,17.357,22.630,13.151
5,Session01,ETH-1,6.458,11.553,17.398,22.696,11.788
6,Session01,ETH-1,6.438,11.381,17.217,22.396,11.296
7,Session01,ETH-1,6.420,11.431,17.258,22.420,11.385
8,Session01,ETH-1,6.357,11.441,17.208,22.449,11.503
9,Session01,ETH-1,6.429,11.486,17.320,22.529,11.233
10,Session01,ETH-1,6.451,11.503,17.358,22.552,9.480
11,Session01,ETH-1,6.447,11.463,17.305,22.521,10.360
12,Session01,ETH-1,6.452,11.472,17.336,22.512,10.473
13,Session01,ETH-1,6.451,11.551,17.425,22.686,10.872
14,Session01,ETH-1,6.451,11.455,17.318,22.491,10.652
15,Session01,ETH-1,6.299,11.482,17.193,22.547,10.258
16,Session01,ETH-1,6.426,11.499,17.339,22.570,11.108
17,Session01,ETH-1,6.446,11.494,17.350,22.660,12.161
18,Session01,ETH-1,6.413,11.489,17.320,22.603,12.881
19,Session01,ETH-1,6.445,11.467,17.329,22.560,12.823
20,Session01,ETH-2,-5.508,-5.225,-11.439,-10.433,7.051
21,Session01,ETH-2,-5.567,-5.242,-11.531,-10.502,8.910
22,Session01,ETH-2,-5.493,-5.113,-11.327,-10.261,9.959
23,Session01,ETH-2,-5.519,-5.289,-11.525,-10.579,9.977
24,Session01,ETH-2,-5.565,-5.353,-11.647,-10.734,-3.655
25,Session01,ETH-2,-5.569,-5.409,-11.684,-10.770,-3.875
26,Session01,ETH-2,-5.521,-5.177,-11.428,-10.381,-4.745
27,Session01,ETH-2,-5.567,-5.334,-11.624,-10.681,-4.797
28,Session01,ETH-2,-5.566,-5.234,-11.531,-10.455,-3.394
29,Session01,ETH-2,-5.581,-5.379,-11.686,-10.815,-4.966
30,Session01,ETH-2,-5.580,-5.336,-11.642,-10.655,-4.544
31,Session01,ETH-2,-5.575,-5.244,-11.540,-10.494,-3.899
32,Session01,ETH-2,-5.552,-5.215,-11.491,-10.447,-5.379
33,Session01,ETH-2,-5.528,-5.083,-11.312,-10.202,-5.428
34,Session01,ETH-2,-5.548,-5.015,-11.279,-10.054,-5.494
35,Session01,ETH-2,-5.497,-4.954,-11.162,-9.947,-4.556
36,Session01,ETH-2,-5.476,-4.854,-11.040,-9.792,-5.588
37,Session01,ETH-2,-5.403,-4.943,-11.061,-9.896,-4.907
38,Session01,ETH-3,6.139,11.799,17.751,23.289,12.701
39,Session01,ETH-3,6.155,11.834,17.783,23.402,12.655
40,Session01,ETH-3,6.163,11.927,17.887,23.599,12.488
41,Session01,ETH-3,6.143,11.855,17.810,23.415,11.247
42,Session01,ETH-3,6.145,11.826,17.783,23.314,10.918
43,Session01,ETH-3,6.150,11.855,17.789,23.447,11.520
44,Session01,ETH-3,6.158,11.884,17.852,23.478,11.339
45,Session01,ETH-3,6.151,11.849,17.813,23.356,10.812
46,Session01,ETH-3,6.134,11.827,17.758,23.356,9.820
47,Session01,ETH-3,6.147,11.809,17.756,23.345,11.857
48,Session01,ETH-3,6.162,11.904,17.858,23.542,12.212
49,Session01,ETH-3,6.070,11.833,17.696,23.402,12.309
50,Session01,ETH-3,6.129,11.873,17.814,23.498,12.839
51,Session01,ETH-3,6.148,11.885,17.839,23.455,11.566
52,Session01,ETH-3,6.139,11.836,17.768,23.442,11.768
53,Session01,ETH-4,-5.593,-5.277,-11.344,-10.445,6.520
54,Session01,ETH-4,-5.610,-5.474,-11.548,-10.897,3.750
55,Session01,ETH-4,-5.545,-5.317,-11.332,-10.617,6.196
56,Session01,ETH-4,-5.613,-5.435,-11.526,-10.792,-3.368
57,Session01,ETH-4,-5.578,-5.311,-11.387,-10.569,-4.666
58,Session01,ETH-4,-5.685,-5.492,-11.663,-10.910,-5.072
59,Session01,ETH-4,-5.604,-5.237,-11.323,-10.391,-4.027
60,Session01,ETH-4,-5.603,-5.412,-11.476,-10.720,-2.898
61,Session01,ETH-4,-5.599,-5.377,-11.455,-10.656,-3.614
62,Session01,ETH-4,-5.610,-5.352,-11.435,-10.617,-3.816
63,Session01,ETH-4,-5.591,-5.013,-11.089,-9.933,-3.478
64,Session01,ETH-4,-5.586,-5.217,-11.283,-10.395,-5.515
65,Session01,HG,6.405,10.935,16.569,21.284,-32.069
66,Session01,HG,-0.029,-1.355,-2.208,-3.004,-4.172
67,Session01,HG,-16.788,-7.051,-24.959,-14.207,22.843
68,Session01,HG,6.479,13.048,18.732,25.498,-36.393
69,Session01,HG,0.068,-1.383,-2.132,-3.045,0.567
70,Session01,HG,0.040,-0.450,-1.250,-1.178,1.235
71,Session01,HG,6.477,11.142,16.840,21.772,11.818
72,Session01,HG,-17.157,-7.327,-25.621,-14.704,-11.493
73,Session01,HG,-0.057,-1.381,-2.280,-3.048,-0.093
74,Session01,HG,6.436,10.537,16.194,20.479,9.504
75,Session01,HG,-17.041,-7.336,-25.511,-14.722,-9.538
76,Session01,HG,-0.025,-1.430,-2.294,-3.092,-0.360
77,Session01,HG,6.526,13.016,18.748,25.439,11.045
78,Session01,HG,-16.779,-7.160,-25.075,-14.322,-9.139
79,Session01,HG,-0.023,-0.956,-1.813,-2.237,0.025
80,Session01,HG,-17.144,-7.333,-25.606,-14.718,-10.895
81,Session01,HG,6.405,10.776,16.419,21.002,10.802
82,Session01,HG,-17.041,-7.012,-25.178,-14.136,-10.796
83,Session01,25G,-33.082,31.647,-4.071,63.319,-31.465
84,Session01,25G,0.324,7.308,7.573,14.553,-21.907
85,Session01,25G,-33.071,31.474,-4.205,62.989,-37.172
86,Session01,25G,-33.887,7.522,-27.787,14.859,14.097
87,Session01,25G,1.178,31.658,32.396,63.381,24.939
88,Session01,25G,-33.963,7.113,-28.257,14.110,-5.181
89,Session01,25G,1.231,32.031,32.833,64.166,25.285
90,Session01,25G,-0.026,-3.510,-3.435,-6.880,-1.246
91,Session01,25G,-0.029,-3.327,-3.254,-6.552,0.371
92,Session01,25G,-33.907,7.537,-27.805,14.936,-5.462
93,Session01,25G,-0.008,-4.395,-4.298,-8.642,-2.056
94,Session01,25G,0.354,6.896,7.193,13.570,5.821
95,Session01,25G,-0.030,-3.448,-3.380,-6.768,-1.402
96,Session01,25G,-33.743,7.249,-27.910,14.311,-6.192
97,Session01,25G,0.984,31.590,32.123,63.110,21.002
98,Session01,25G,-0.029,-3.684,-3.608,-7.259,-0.029
99,Session01,25G,-33.804,7.974,-27.287,15.802,-5.139
100,Session01,25G,1.283,31.985,32.840,64.080,23.737
101,Session01,25G,-0.492,-3.968,-4.356,-7.800,-0.608
102,Session01,25G,-33.902,7.455,-27.876,14.744,-6.568