,Laboratory,all,A,B,C,D,E,F,G,H,I
,N of sessions,28,4,4,11,3,1,2,1,1,1
,N of H/E CO2,828,44,193,257,23,47,21,38,192,13
ETH-1,N of analyses,162,34,14,5,16,4,4,19,58,8
,Δ47 (90 °C acid),0.2040,0.2016,0.1926,0.2108,0.1963,0.1601,0.2013,0.2143,0.1932,0.2183
,± 1SE,0.0019,0.0046,0.0058,0.0069,0.0069,0.0245,0.0107,0.0032,0.0045,0.0109
,Statistical weight,,0.167,0.104,0.074,0.074,0.006,0.031,0.339,0.175,0.030
ETH-2,N of analyses,145,23,13,11,13,4,4,18,51,8
,Δ47 (90 °C acid),0.2069,0.2077,0.1840,0.2225,0.1985,0.1374,0.1650,0.2141,0.1968,0.2172
,± 1SE,0.0018,0.0047,0.0070,0.0046,0.0086,0.0233,0.0101,0.0029,0.0043,0.0154
,Statistical weight,,0.145,0.065,0.149,0.044,0.006,0.032,0.375,0.172,0.014
ETH-3,N of analyses,196,55,15,20,15,4,5,15,59,8
,Δ47 (90 °C acid),0.6128,0.6156,0.5975,0.6169,0.5946,0.5950,0.6143,0.6159,0.6094,0.6428
,± 1SE,0.0016,0.0037,0.0056,0.0033,0.0065,0.0237,0.0099,0.0033,0.0042,0.0103
,Statistical weight,,0.185,0.082,0.232,0.062,0.005,0.027,0.237,0.146,0.024
ETH-4,N of analyses,116,10,12,5,15,4,4,12,47,7
,Δ47 (90 °C acid),0.4489,0.4438,0.4230,0.4624,0.4533,0.4230,0.4454,0.4560,0.4414,0.4831
,± 1SE,0.0020,0.0058,0.0071,0.0068,0.0084,0.0226,0.0095,0.0032,0.0042,0.0161
,Statistical weight,,0.115,0.078,0.083,0.055,0.008,0.044,0.385,0.217,0.015